number,english_name,spanish_name,rgb,owned
70.907,Pale Grey Blue,Azul Gris Claro,"129,127,43",false
70.905,Blue Grey Pale,Gris Azul Claro,"92,195,57",false
70.868,Dark Sea Green,Verde Marina Osc.,"100,189,21",false
70.826,Medium Brown,Pardo Medio,"22,126,34",false
70.761,Old Wood,Madera Vieja,"243,168,121",false
70.770,New Wood,Madera Nueva,"190,48,180",false
70.856,Ochre Brown,Ocre Marrón,"88,226,215",false
70.906,Pale Blue,Azul Pálido,"47,217,141",false
70.992,Neutral Grey,Gris Neutral,"129,239,243",false
70.995,German Grey,Gris Alemán,"37,65,169",false
70.889,Olive Brown,Pardo Oliva,"37,235,166",false
70.765,Desert Tan,Arena Tostada,"210,83,134",false
70.875,Beige Brown,Marrón Beige,"12,170,33",false
70.981,Orange Brown,Marrón Naranja,"135,236,96",false
70.972,Light Green Blue,Verde Azul Pálido,"180,49,62",false
70.867,Dark Blue Grey,Azul Gris Oscuro,"140,201,49",false
70.774,Lavender Grey,Gris Lavanda,"12,188,176",false
